camera,subset,image,dice,cldice,precision,recall,gt_frac,pred_frac
RetCam,RetCam_Vessels_images,16.png,0.7637653478854024,0.8771863398779336,0.7144899126031201,0.8203408904414695,0.13884440104166668,0.1594140625
RetCam,RetCam_Vessels_images,17.png,0.7698954070031833,0.8888418013911942,0.6937103052653145,0.8648786717752235,0.140185546875,0.174775390625
RetCam,RetCam_Vessels_images,18.png,0.7508770877687487,0.8726618501036262,0.7091959557053442,0.797763547739654,0.102177734375,0.11493815104166667
RetCam,RetCam_Vessels_images,19.png,0.7802671778589828,0.8921506171040713,0.7202897749267267,0.8511402992877214,0.09962890625,0.11772786458333333
RetCam,RetCam_Vessels_images,2.png,0.8025489060202309,0.9281022261267333,0.7656661848482272,0.8431647940074907,0.06953125,0.07656901041666667
RetCam,RetCam_Vessels_images,20.png,0.5643608594987611,0.6332006715210562,0.5832913518052057,0.546620505153828,0.04137044270833334,0.03876953125
RetCam,RetCam_Vessels_images,21.png,0.7797666052469948,0.896895134716708,0.7109220841555117,0.8633743523316062,0.10052083333333334,0.12207682291666666
RetCam,RetCam_Vessels_images,22.png,0.8159887379220613,0.9371911585468153,0.771352528429712,0.8661082182476795,0.07189127604166666,0.08072265625
RetCam,RetCam_Vessels_images,23.png,0.5361782422527034,0.633974925425519,0.6563027449586923,0.453223728605607,0.053063151041666666,0.03664388020833333
RetCam,RetCam_Vessels_images,24.png,0.8075338836760156,0.9402848486250868,0.7558954340383324,0.8667449368946287,0.08872395833333334,0.10173502604166666
RetCam,RetCam_Vessels_images,25.png,0.76673770662231,0.8937242768279896,0.6813321323818102,0.8766231836686179,0.10954752604166666,0.140947265625
RetCam,RetCam_Vessels_images,26.png,0.8206521739130435,0.9612769205171162,0.7785712444249658,0.8675418689494699,0.11331705729166666,0.12626627604166665
RetCam,RetCam_Vessels_images,27.png,0.7933067409247134,0.9267110716774006,0.7339956362285873,0.8630458515283843,0.11927083333333334,0.14024088541666666
RetCam,RetCam_Vessels_images,28.png,0.768276473194506,0.9024294034387546,0.7139855175351413,0.8315034063099411,0.09843098958333334,0.11463216145833334
RetCam,RetCam_Vessels_images,29.png,0.7460474449939081,0.8747423193199724,0.6579692556634305,0.8613510740409758,0.098349609375,0.12875
RetCam,RetCam_Vessels_images,3.png,0.7084551094703379,0.825194024857409,0.704553566875733,0.7124001031193606,0.063134765625,0.063837890625
RetCam,RetCam_Vessels_images,30.png,0.8174697769453431,0.9334122106112145,0.7473730638507641,0.9020762220900009,0.10394856770833333,0.12546549479166666
RetCam,RetCam_Vessels_images,31.png,0.7879319840286383,0.9066390884090091,0.6931835387457227,0.9126829073800885,0.08164388020833334,0.10749674479166667
RetCam,RetCam_Vessels_images,32.png,0.8132742009481572,0.9430357010374893,0.772459873629167,0.8586421248082667,0.040322265625,0.04482096354166667
RetCam,RetCam_Vessels_images,33.png,0.7322712963846227,0.8593264441862235,0.6522891811971041,0.8346090284422023,0.07485026041666666,0.095771484375
RetCam,RetCam_Vessels_images,34.png,0.7983675270240459,0.9381892272883425,0.7232936944139102,0.8908307692307692,0.026448567708333332,0.03257486979166667
RetCam,RetCam_Vessels_images,35.png,0.7648968042609854,0.9009203639618389,0.7044261352749569,0.8367244753971506,0.071513671875,0.08494466145833333
RetCam,RetCam_Vessels_images,36.png,0.7582581858513767,0.8554378089106064,0.6865376218890991,0.8467116599655371,0.09067708333333334,0.11183268229166667
RetCam,RetCam_Vessels_images,37.png,0.7683532958526847,0.9099193684256616,0.7118772018117765,0.8345625110625996,0.05517252604166667,0.06468098958333333
RetCam,RetCam_Vessels_images,38.png,0.7410600568237484,0.8875274401334688,0.6831236076825817,0.8097345132743363,0.045611979166666664,0.05406575520833334
RetCam,RetCam_Vessels_images,39.png,0.7112347273269097,0.8210620770448286,0.6403376976461329,0.7997855323712078,0.07285481770833334,0.09099609375
RetCam,RetCam_Vessels_images,4.png,0.8158717281859178,0.9180313504732802,0.7425729673384295,0.905225816699317,0.12296223958333333,0.14989583333333334
RetCam,RetCam_Vessels_images,40.png,0.49563993274156337,0.5597431497303885,0.7075866688996818,0.3813980080040923,0.10818033854166667,0.058310546875
RetCam,RetCam_Vessels_images,41.png,0.7654933068914229,0.8793972195691393,0.7986206896551724,0.7350047603935259,0.051285807291666666,0.047200520833333336
RetCam,RetCam_Vessels_images,42.png,0.7883322616472789,0.9552843373238465,0.7308692824626056,0.8556020809541937,0.025654296875,0.030032552083333334
RetCam,RetCam_Vessels_images,43.png,0.7204975491487904,0.8781269237943761,0.6478058951758128,0.8115649489432439,0.027415364583333334,0.034345703125
RetCam,RetCam_Vessels_images,44.png,0.7283260800922557,0.8592722801954946,0.6569418990539403,0.8171148692357453,0.105673828125,0.13143880208333333
RetCam,RetCam_Vessels_images,45.png,0.7459758551307847,0.8556311701258602,0.6607663642255347,0.8564153716925661,0.06200520833333333,0.08036458333333334
RetCam,RetCam_Vessels_images,46.png,0.7621062755470065,0.9180626969646708,0.6823975198070961,0.8628988348034411,0.029892578125,0.037799479166666664
RetCam,RetCam_Vessels_images,47.png,0.6205249841872232,0.7145679265044712,0.6023885545867617,0.6397874005478023,0.09983072916666667,0.10602864583333334
RetCam,RetCam_Vessels_images,48.png,0.600069026345055,0.7040143706619472,0.5869907720009003,0.6137433322874176,0.04149739583333333,0.043388671875
RetCam,RetCam_Vessels_images,49.png,0.8069256224393319,0.9252888029783034,0.7336318051575931,0.8964898459383753,0.074375,0.09088541666666666
RetCam,RetCam_Vessels_images,5.png,0.6892383342723967,0.8050927167426464,0.6793900838129859,0.6993762993762994,0.0939453125,0.096708984375
RetCam,RetCam_Vessels_images,50.png,0.8137573663889454,0.946190866819022,0.7683231005372217,0.864902807775378,0.030143229166666667,0.03393229166666667
RetCam,RetCam_Vessels_images,6.png,0.7980307649181821,0.9024599122298042,0.7316328825211218,0.8776831477128213,0.08446940104166667,0.10133138020833334
RetCam,RetCam_Vessels_images,7.png,0.8161889957274902,0.9176400456807691,0.748348553383972,0.8975555828522295,0.15900390625,0.19070638020833333
RetCam,RetCam_Vessels_images,8.png,0.7598169115875693,0.8988186974274389,0.66923787413565,0.8787531139373279,0.09930989583333333,0.130400390625
RetCam,RetCam_Vessels_images,9.png,0.7303876174097103,0.8574987627383837,0.7365998465694941,0.7242792955298285,0.09925455729166667,0.09759440104166667
